TRAFFIC COUNTS 1976 and 1985,,,,,,,  ,,,,,,,,,,,
PEAK HALF HOUR,,,,,,,,,,      Table 2:  Morning and Afternoon Peak Period Average ,,,,,,,,
,1976,,1985,,,,,,,"                Traffic Volumes, by Direction ",,,,,,,,
,AM,PM,AM,PM,,,,,,,,,,,,,,
OUT,,,,,,,,,,,,,,,,,,
N,318,570,362,653,,,,,,-,-,-,-,-,-,-,,
S,624,409,716,449,,,,,,Traffic,1976,,1985,, % Change,,,
E,321,473,396,431,,,,,,Direction,AM,PM,AM,PM,AM,PM,,
W,294,343,374,426,,,,,,-,-,-,-,-,-,-,,
IN,,,,,,,,,,,,,,,,,,
N,330,627,369,701,,,,,,Nortbound (S-N),1024,2073,1184,2405,0.15625,0.16015437,,
S,568,377,672,442,,,,,,Southbound (N-S),1982.5,1337,2374,1582.5,0.19747793,0.18362004,,
E,309,462,389,406,,,,,,Eastbound (W-E),1037,1279.5,1314,1488,0.26711668,0.16295428,,
W,331,354,399,437,,,,,,Westbound (E-W),1017,1176.5,1289,1495,0.26745329,0.27071823,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-,-,-,-,-,-,-,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Note: Morning peak period is: 7:00 - 9:00 AM,,,,,,,,
,,,,,,,,,,      Afternoon peak period is: 4:00 - 6:00 PM,,,,,,,,
,1976,,1985,,85-76,,PERCENT,,,,,,,,,,,
,AM,PM,AM,PM,AM,PM,AM,PM,,      Table 3:  Morning and Afternoon Peak Half Hour Average ,,,,,,,,
AVERAGE,,,,,,,,,,"                Traffic Volumes, by Direction ",,,,,,,,
N,324,598.5,365.5,677,41.5,78.5,12.808642,13.116124,,,,,,,,,,
S,596,393,694,445.5,98,52.5,16.442953,13.358779,,,,,,,,,,
E,315,467.5,392.5,418.5,77.5,-49,24.603175,-10.481283,,-,-,-,-,-,-,-,-,-
W,312.5,348.5,386.5,431.5,74,83,23.68,23.816356,,Traffic,1976,,1985,, % Change,,,
,,,,,,,,,,Direction,AM,PM,AM,PM,AM,PM,,
,,,,,,,,,,-,-,-,-,-,-,-,,
PEAK PERIOD,,,,,,,,,,,,,,,,,,
,1976,,1985,,,,,,,Nortbound (S-N),324,598.5,365.5,677,0.15625,0.16015437,,
,AM,PM,AM,PM,,,,,,Southbound (N-S),596,393,694,445.5,0.19747793,0.18362004,,
OUT,,,,,,,,,,Eastbound (W-E),315,467.5,392.5,418.5,0.26711668,0.16295428,,
N,991,1975,1171,2328,,,,,,Westbound (E-W),312.5,348.5,386.5,431.5,0.26745329,0.27071823,,
S,2081,1395,2460,1608,,,,,,-,-,-,-,-,-,-,,
E,1048,1313,1326,1531,,,,,,Note: Peak half hour is defined for each link separately,,,,,,,,
W,963,1168,1238,1480,,,,,,as the 30-minute interval of highest traffic volume.,,,,,,,,
IN,,,,,,,,,,,,,,,,,,
N,1057,2171,1197,2482,,,,,,,,,,,,,,
S,1884,1279,2288,1557,,,,,,,,,,,,,,
E,1026,1246,1302,1445,,,,,, Table 4: Ratio of Peak Half-hour to,,,,,,,,
W,1071,1185,1340,1510,,,,,,          Peak Period Traffic Volumes,,,,,,,,
,,,,,,,,,,          By Direction,,,,,,,,
,1976,,1985,,85-76,,PERCENT,,,,,,,,,,,
,AM,PM,AM,PM,AM,PM,AM,PM,,-,-,-,-,-,,,,
AVERAGE,,,,,,,,,,Traffic,1976,,1985,,,,,
N,1024,2073,1184,2405,160,332,0.15625,0.16015437,,Direction,AM,PM,AM,PM,,,,
S,1982.5,1337,2374,1582.5,391.5,245.5,0.19747793,0.18362004,,-,-,-,-,-,,,,
E,1037,1279.5,1314,1488,277,208.5,0.26711668,0.16295428,,,,,,,,,,
W,1017,1176.5,1289,1495,272,318.5,0.26745329,0.27071823,,Nortbound (S-N),0.31640625,0.28871201,0.30869932,0.28149688,,,,
,,,,,,,,,,Southbound (N-S),0.30063052,0.29394166,0.29233361,0.28151659,,,,
,,,,,,,,,,Eastbound (W-E),0.30376085,0.3653771,0.29870624,0.28125,,,,
PEAKHH/PEAKPD,,,,,,,,,,Westbound (E-W),0.3072763,0.29621759,0.29984484,0.28862876,,,,
,1976,,1985,,,,,,,,,,,,,,,
,AM,PM,AM,PM,,,,,,-,-,-,-,-,,,,
N,0.31640625,0.28871201,0.30869932,0.28149688,,,,,,,,,,,,,,
S,0.30063052,0.29394166,0.29233361,0.28151659,,,,,,,,,,,,,,
E,0.30376085,0.3653771,0.29870624,0.28125,,,,,,,,,,,,,,
W,0.3072763,0.29621759,0.29984484,0.28862876,,,,,,  Table 5: Difference Between Morning and ,,,,,,,,
,,,,,,,,,,           Afternoon Peak Period Traffic,,,,,,,,
,,,,,,,,,,"           Volumes, by Direction",,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-,-,-,-,-,,,,
,,,,,,,,,,Traffic,,,,,,,,
,,,,,,,,,,Direction,,1976,1985, % Change,,,,
,,,,,,,,,,-,-,-,-,-,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Radial Peak,,90,31,-0.65555556,,,,
,,,,,,,,,,Radial Off-Peak,,313,399,0.27476038,,,,
,,,,,,,,,,Lateral Off-Peak,,140,181,0.29285714,,,,
,,,,,,,,,,Lateral Peak,,263,199,-0.24334601,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-,-,-,-,-,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,        Table 1: Montgomery County Trends,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-,-,-,-,-,,,,
,,,,,,,,,,,,1976,1985,Change (%),,,,
,,,,,,,,,,-,-,-,-,-,,,,
,,,,,,,,,,Households,,193600,236000,0.21900826,,,,
,,,,,,,,,,Population,,585000,628000,0.073504274,,,,
,,,,,,,,,,Average Household Size,,3.0216942,2.6610169,-0.1193626,,,,
,,,,,,,,,,Employment,,274000,330000,0.20437956,,,,
